"bc_code","bc_name","year","PVDA","MPP","DENK","BIJ1","imm_Sur","imm_Ant","imm_Tur","imm_Mar","imm_otherNW","imm_W","imm_autoch","age_0t18","age_18t26","age_27t65","age_66plus","unempl","BEVPOTBBV15-64","WCORHUUR","edu_low","edu_mid","edu_high","housing_soc","employ","bc_combined","WWB","MCparties","turnout","housing_soc_delta2005","housing_soc_delta2009","housing_soc_delta2013","housing_soc_delta","housing_pub_delta","PVDA_delta2006","PVDA_delta2010","PVDA_delta2014","PVDA_delta","year_BCvars"
"F83","De Punt",2014,21.5589887640449,5.19662921348315,NA,NA,8.43657817109145,1.23893805309735,10.9341199606686,15.6735496558505,11.3667649950836,12.9203539823009,39.4296951819076,21.2192723697148,13.5693215339233,51.0324483775811,15.1622418879056,12.2765895106944,66.0176991150443,51.8196856906534,40,45,15,52,241,0,7.17902889484659,5.19662921348315,32.7582240625719,-8.00000000000001,-7.105427357601e-15,NA,-7.105427357601e-15,NA,-22.5400325370489,-12.595256213272,NA,-12.595256213272,2013
"F83","De Punt",2018,8.58208955223881,NA,25.7462686567164,1.92786069651741,8.05402701350675,1.16725029181257,14.1404035351009,17.3086543271636,12.8397532099383,13.8902784725696,32.5996331499083,22.6446556611639,16.2914790728698,49.6748374187094,12.456228114057,13.1381563029277,68.2341170585293,40.8076923076923,38,42,20,44,292,0,7.13587487781036,27.6741293532338,39.3154034229829,-16,-8,-7.99999999999999,-7.99999999999999,-11.0119933829611,-35.516931748855,-25.5721554250781,-12.9768992118061,-12.9768992118061,2017
"A07","De Weteringschans",2006,28.562421185372,NA,NA,NA,1.88183807439825,0.919037199124726,0.802334062727936,0.408460977388767,6.14150255288111,25.0474106491612,64.799416484318,11.3785557986871,14.1648431801605,69.1174325309993,6.03938730853392,NA,83.7636761487965,NA,NA,NA,NA,50,182,0,3.16962730755834,NA,57.8093675961363,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005
"A07","De Weteringschans",2010,22.3064853556485,NA,NA,NA,1.86561725695963,0.976534032939805,0.743331875819851,0.553855123159889,6.35475878151873,24.3842005538551,65.121702375747,11.0188019239178,15.6245445270369,66.6375163970267,7.31671767963854,NA,82.5972890249235,NA,NA,NA,NA,48,141,0,2.48808893594494,NA,57.0746268656716,-2,NA,NA,-2,NA,-6.25593582972347,NA,NA,-6.25593582972347,2009
"A07","De Weteringschans",2014,15.1566265060241,0.0240963855421687,NA,NA,1.68654874537227,0.946112710818593,0.904977375565611,0.767859591389003,7.07527766351296,25.3393665158371,63.2798573975045,12.0800767859591,16.9340463458111,62.2926093514329,9.35143288084465,5.73183213920164,79.1306732483203,12.7474972191324,8,31,61,40,125,0,2.16600242592272,0.0240963855421687,60.5927872682143,-10,-8,NA,-8,NA,-13.4057946793479,-7.14985884962444,NA,-7.14985884962444,2013
"A07","De Weteringschans",2018,10.5528973950027,NA,0.239234449760766,1.01010101010101,1.40573318632856,0.799338478500551,1.03362734288864,0.64773980154355,8.10363836824697,27.0121278941566,60.9977949283352,12.3897464167585,16.6482910694598,59.9917309812569,11.5214994487321,5.47438831191692,77.3980154355016,11.3586719091306,9,28,63,35,100,0,1.78062678062678,1.24933545986178,66.2673947507486,-15,-13,-5,-5,-1.38882531000175,-18.0095237903694,-11.7535879606459,-4.60372911102144,-4.60372911102144,2017
"K26","Diamantbuurt/Zuid Pijp",2006,40.8096280087527,NA,NA,NA,9.78009962337505,0.78969748511724,5.00546713643543,12.5136678410886,9.4399222451707,15.2836836350383,47.1874620337748,18.5275179200583,11.5295832827117,61.0739885797594,9.88944235208359,NA,74.6932329000121,NA,NA,NA,NA,93,736,0,11.971372804164,NA,52.7180966113915,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005
"K26","Diamantbuurt/Zuid Pijp",2010,32.7906976744186,NA,NA,NA,8.6734693877551,1.00796416127427,4.38028870084619,12.045793927327,10.1045296167247,16.5380786460926,47.2498755599801,16.7994026879044,11.5355898456944,62.5684420109507,10.0920856147337,NA,75.9084121453459,NA,NA,NA,NA,88,633,0,10.3770491803279,NA,45.4408212560386,-5,NA,NA,-5,NA,-8.01893033433412,NA,NA,-8.01893033433412,2009
"K26","Diamantbuurt/Zuid Pijp",2014,20.4929779306392,0.745199197477787,NA,NA,7.9160530191458,1.05547373588611,4.1114383897889,11.2420225822288,10.6897398134512,17.0962199312715,47.8890525282278,15.1448208149239,13.4634266077565,60.7879234167894,11.3647520864016,15.2629055457887,75.3681885125184,75.7130320315928,29,36,35,81,565,0,9.20045595179938,0.745199197477787,47.9587628865979,-12,-7,NA,-7,NA,-20.3166500781136,-12.2977197437795,NA,-12.2977197437795,2013
"K26","Diamantbuurt/Zuid Pijp",2018,10.9090909090909,NA,5.83190394511149,1.95540308747856,7.16016476859704,1.09038042161376,3.88902350375575,10.1163072449721,11.7761085534286,17.3976253937485,48.5703901138842,15.1684031984492,14.0174460867458,58.9047734431791,12.9149503271141,15.8707187650748,74.2064453598255,70.7002188183807,25,30,45,76,578,0,9.43673469387755,7.78730703259005,53.9914799036859,-17,-12,-5,-5,-5.01281321321206,-29.9005370996618,-21.8816067653277,-9.58388702154824,-9.58388702154824,2017
"T98","Driemond",2006,20.0585651537335,NA,NA,NA,2.46010638297872,0.598404255319149,0.398936170212766,0,1.1968085106383,8.24468085106383,87.1010638297872,24.6010638297872,7.24734042553191,57.313829787234,12.2340425531915,NA,67.8191489361702,NA,NA,NA,NA,NA,10,0,0.980392156862745,NA,55.9377559377559,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005
